"No.","Time","Source","Destination","Protocol","Length","Service UUID","Value","Value","Info"
"2783","39.422167","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","22","Google Inc.","00ff00009a170222b815","00ff00009a170222b815","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"2785","39.577048","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa701013d","00ff00009aa701013d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"2790","39.673130","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa7015a31","00ff00009aa7015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"2791","39.778120","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","24","Google Inc.","00ff00009a140406122f0fbe","00ff00009a140406122f0fbe","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"3069","43.457723","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa2010138","00ff00009aa2010138","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"3081","43.538753","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa2015a31","00ff00009aa2015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"3592","48.020164","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010690","00ff00009a0d010690","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"9282","94.173475","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"9861","100.258671","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01dd4c","00ff00009a0a01dd4c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10320","103.747677","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01ee7f","00ff00009a0a01ee7f","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10325","103.812543","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10340","103.854993","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10345","103.892585","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01ee7f","00ff00009a0a01ee7f","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10358","103.977992","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10364","104.024514","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01ee7f","00ff00009a0a01ee7f","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10775","107.634610","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10789","107.716780","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"10983","109.892555","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010096","00ff00009a0d010096","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"11444","113.622763","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"11549","114.391405","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01ee7f","00ff00009a0a01ee7f","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"12412","121.909187","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"12421","121.995013","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"12636","124.070091","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010096","00ff00009a0d010096","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13612","131.848818","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13669","132.489928","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01dd4c","00ff00009a0a01dd4c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13683","132.594132","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13720","132.985588","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13727","133.081905","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01dd4c","00ff00009a0a01dd4c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13740","133.173227","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13747","133.243197","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01dd4c","00ff00009a0a01dd4c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13754","133.315288","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13760","133.342672","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"13797","133.698127","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"14015","135.577275","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010096","00ff00009a0d010096","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"14218","137.085756","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010096","00ff00009a0d010096","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"14372","138.278013","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010096","00ff00009a0d010096","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"14419","138.677392","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0a01cc5d","00ff00009a0a01cc5d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"14489","139.172750","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010197","00ff00009a0d010197","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"14742","140.375882","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"15002","141.681546","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010593","00ff00009a0d010593","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"15270","144.597662","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"15461","146.828311","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010690","00ff00009a0d010690","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"15578","147.948054","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"15896","150.439043","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010d9b","00ff00009a0d010d9b","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"16341","154.696955","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"16491","156.276741","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d010d9b","00ff00009a0d010d9b","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"16651","158.410098","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011086","00ff00009a0d011086","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"16863","160.798789","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"17053","162.330388","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011086","00ff00009a0d011086","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"17303","164.446650","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011187","00ff00009a0d011187","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"17449","165.598470","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"17595","166.958035","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011187","00ff00009a0d011187","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"17779","168.826898","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011583","00ff00009a0d011583","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"17994","171.697302","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"18183","173.508662","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011680","00ff00009a0d011680","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"18338","174.623990","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"18593","176.702257","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011680","00ff00009a0d011680","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"18817","178.767611","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011781","00ff00009a0d011781","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"18954","179.974111","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"19117","181.614536","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011781","00ff00009a0d011781","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"19253","183.680577","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d01188e","00ff00009a0d01188e","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"19353","184.848691","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"19571","186.427109","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011a8c","00ff00009a0d011a8c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"19797","188.274568","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"19929","189.833908","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011a8c","00ff00009a0d011a8c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20061","191.085777","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011a8c","00ff00009a0d011a8c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20184","192.177141","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011b8d","00ff00009a0d011b8d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20286","193.349236","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20378","194.471309","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011a8c","00ff00009a0d011a8c","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20470","195.650631","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20537","196.468934","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011b8d","00ff00009a0d011b8d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20672","197.624395","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"20847","199.001088","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011b8d","00ff00009a0d011b8d","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"21094","201.013076","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"21266","202.199376","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"21409","203.374588","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"21633","205.303614","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"21783","207.228028","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"21882","208.618802","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"22025","209.951420","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"22223","211.563213","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"22447","213.311491","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"22626","214.735913","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011c8a","00ff00009a0d011c8a","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"22788","215.992744","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011d8b","00ff00009a0d011d8b","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"22938","217.201801","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009aa1015a31","00ff00009aa1015a31","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"23020","218.435698","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011d8b","00ff00009a0d011d8b","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
"23138","219.875536","Raspberr_e2:fc:fd (Raspberry Pi 4)","MS-NLB-PhysServer-32_04:23:6c:96:de (Blind)","ATT","21","Google Inc.","00ff00009a0d011e88","00ff00009a0d011e88","Sent Write Command, Handle: 0x000e (Google Inc.: SRAM)"
